Prefix,Base,Name,Opcode1,Opcode2,Opcode3,Offical,Function,Cycles,
,88,ADC,A,ByteReg | 1,,Y,ADD-C,4,
,8E,ADC,A,(HL),,Y,ADD-C,7,
,CE,ADC,A,Byte | ByteImmidate,,Y,ADD-C,7,
ED,4A,ADC,HL,WordReg | 3,,Y,ADD-C,15,
FD,88,ADC,A,ByteIndexReg | 1,,X,ADD-C,,
FD,8E,ADC,A,(IX/IY),,Y,ADD-C,19,
,9,ADD,HL,WordReg | 3,,Y,ADD,11,
,80,ADD,A,ByteReg | 1,,Y,ADD,4,
,86,ADD,A,(HL),,Y,ADD,7,
,C6,ADD,A,Byte | ByteImmidate,,Y,ADD,7,
FD,9,ADD,IX/IY,WordReg | 3,,Y,ADD,15,
FD,29,ADD,IX/IY,IX/IY,,Y,ADD,15,
FD,80,ADD,A,ByteIndexReg | 1,,X,ADD,,
FD,86,ADD,A,(IX/IY),,Y,ADD,19,
,A0,AND,A,ByteReg | 1,,Y,AND,4,
,A6,AND,A,(HL),,Y,AND,7,
,E6,AND,A,Byte | ByteImmidate,,Y,AND,7,
FD,A0,AND,A,ByteIndexReg | 1,,X,AND,,
FD,A6,AND,A,(IX/IY),,Y,AND,19,
CB,40,BIT,Encoded | 2,ByteReg | 1,,Y,BIT,8,
CB,46,BIT,Encoded | 2,(HL),,Y,BIT,12,
FDCB,40,BIT,Encoded | 2,(IX/IY),ByteReg | 1,X,BIT,,
FDCB,46,BIT,Encoded | 2,(IX/IY),,Y,BIT,20,
,C4,CALL,Flag | 2,Address | WordImmidate,,Y,CALL,17,
,CD,CALL,Address | WordImmidate,,,Y,CALL,17,
,3F,CCF,,,,Y,CY_INVERT,4,
,B8,CP,A,ByteReg | 1,,Y,CMP,4,
,BE,CP,A,(HL),,Y,CMP,7,
,FE,CP,A,Byte | ByteImmidate,,Y,CMP,7,
FD,B8,CP,A,ByteIndexReg | 1,,X,CMP,,
FD,BE,CP,A,(IX/IY),,Y,CMP,19,
ED,A9,CPD,,,,Y,CMP_D,16,
ED,B9,CPDR,,,,Y,CMP_DR,21,
ED,A1,CPI,,,,Y,CMP_I,16,
ED,B1,CPIR,,,,Y,CMP_IR,21,
,2F,CPL,A,,,Y,NOT,4,
,27,DAA,,,,Y,BCD_ADJUST,4,
,5,DEC,ByteReg | 2,,,Y,DEC,4,
,0B,DEC,WordReg | 3,,,Y,DEC,6,
,35,DEC,(HL),,,Y,DEC,11,
FD,5,DEC,ByteIndexReg | 2,,,X,DEC,,
FD,2B,DEC,IX/IY,,,Y,DEC,10,
FD,35,DEC,(IX/IY),,,Y,DEC,23,
,F3,DI,,,,Y,DI,4,
,10,DJNZ,Disp | ByteImmidate,,,Y,DJNZ,13,
,FB,EI,,,,Y,EI,4,
,8,EX,AF,AF',,Y,EX,4,
,E3,EX,(SP),HL,,Y,EX,19,
,EB,EX,DE,HL,,Y,EX,4,
FD,E3,EX,(SP),IX/IY,,Y,EX,23,
,D9,EXX,,,,Y,EXX,4,
,76,HALT,,,,Y,HALT,4,
ED,46,IM,0,,,Y,IM,8,
ED,4E,IM,0,,,N,IM,8,
