Prefix,Base,Name,Opcode1,Opcode2,Opcode3,Offical,Function,,
,0,NOP,,,,Y,NOP,,
,1,LD,WordReg | 3,Word | Immidate,,Y,LD,,
,2,LD,(BC),A,,Y,LD,,
,3,INC,WordReg | 3,,,Y,INC,,
,4,INC,ByteReg* | 2,,,Y,INC,,
,5,DEC,ByteReg* | 2,,,Y,DEC,,
,6,LD,ByteReg* | 2,Byte | Immidate,,Y,LD,,
,7,RLCA,,,,Y,RL_A_CY,,
,8,EX,AF,AF',,Y,EX,,
,9,ADD,HL*,WordReg | 3,,Y,ADD,,
,0A,LD,A,(BC),,Y,LD,,
,0B,DEC,WordReg | 3,,,Y,DEC,,
,0F,RRCA,,,,Y,RR_A_CY,,
,10,DJNZ,Disp | Immidate,,,Y,DJNZ,,
,12,LD,(DE),A,,Y,LD,,
,17,RLA,,,,Y,RL_A,,
,18,JR,Disp | Immidate,,,Y,JR,Flags,
,1A,LD,A,(DE),,Y,LD,0,NZ
,1F,RRA,,,,Y,RR_A,1,Z
,20,JR,HalfFlag | 4,Disp | Immidate,,Y,JR,2,NC
,22,LD,AddressPtr | Immidate,HL*,,Y,LD,3,CY
,27,DAA,,,,Y,BCD_Adjust,4,PO
,2A,LD,HL*,AddressPtr | Immidate,,Y,LD,5,PE
,2F,CPL,A,,,Y,NOT,6,P
,32,LD,AddressPtr | Immidate,A,,Y,LD,7,M
,34,INC,(HL*),,,Y,INC,,
,35,DEC,(HL*),,,Y,DEC,,
,36,LD,(HL*),Byte | Immidate,,Y,LD,,
,37,SCF,,,,Y,CY_SET,,
,3A,LD,A,AddressPtr | Immidate,,Y,LD,,
,3F,CCF,,,,Y,CY_Invert,,
,40,LD,ByteReg* | 2,ByteReg* | 1,,Y,LD,,
,46,LD,ByteReg* | 2,(HL*),,Y,LD,,
,70,LD,(HL*),ByteReg* | 1,,Y,LD,,
,76,HALT,,,,Y,HALT,,
,80,ADD,A,ByteReg* | 1,,Y,ADD,,
,86,ADD,A,(HL*),,Y,ADD,,
,88,ADC,A,ByteReg* | 1,,Y,ADDC,,
,8E,ADC,A,(HL*),,Y,ADDC,,
,90,SUB,A,ByteReg* | 1,,Y,SUB,,
,96,SUB,A,(HL*),,Y,SUB,,
,98,SBC,A,ByteReg* | 1,,Y,SUBC,,
,9E,SBC,A,(HL*),,Y,SUBC,,
,A0,AND,A,ByteReg* | 1,,Y,AND,,
,A6,AND,A,(HL*),,Y,AND,,
,A8,XOR,A,ByteReg* | 1,,Y,XOR,,
,AE,XOR,A,(HL*),,Y,XOR,,
,B0,OR,A,ByteReg* | 1,,Y,OR,,
,B6,OR,A,(HL*),,Y,OR,,
,B8,CP,A,ByteReg* | 1,,Y,CMP,,
,BE,CP,A,(HL*),,Y,CMP,,
,C0,RET,Flag | 2,Address | Immidate,,Y,RET,,
,C1,POP,WordRegF | 3,,,Y,POP,,
,C2,JP,Flag | 2,Address | Immidate,,Y,JMP,,
,C3,JP,Address | Immidate,,,Y,JMP,,
,C4,CALL,Flag | 2,Address | Immidate,,Y,CALL,,
,C5,PUSH,WordRegF | 3,,,Y,PUSH,,
,C6,ADD,A,Byte | Immidate,,Y,ADD,,
,C7,RST,Encoded | 2,,,Y,RST,,
,C9,RET,,,,Y,RET,,
,CD,CALL,Address | Immidate,,,Y,CALL,,
,CE,ADC,A,Byte | Immidate,,Y,ADDC,,
,D3,OUT,Byte | Immidate,A,,Y,OUT,,
,D6,SUB,A,Byte | Immidate,,Y,SUB,,
,D9,EXX,,,,Y,EXX,,
,DB,IN,A,Byte | Immidate,,Y,IN,,
,DE,SBC,A,Byte | Immidate,,Y,SUBC,,
,E3,EX,(SP),HL*,,Y,EX,,
,E6,AND,A,Byte | Immidate,,Y,AND,,
,E9,JP,HL*,,,Y,JMP,,
,EB,EX,DE,HL,,Y,EX,,
,EE,XOR,A,Byte | Immidate,,Y,XOR,,
,F3,DI,,,,Y,DI,,
,F6,OR,A,Byte | Immidate,,Y,OR,,
,F9,LD,SP,HL*,,Y,LD,,
,FB,EI,,,,Y,EI,,
,FE,CP,A,Byte | Immidate,,Y,CMP,,
CB,0,RLC,ByteReg | 1,,,Y,RL_CY,,
CB,0,RLC,(IX*),ByteReg | 1,,X,RL_CY,,
CB,6,RLC,(HL*),,,Y,RL_CY,,
CB,8,RRC,ByteReg | 1,,,Y,RR_CY,,
CB,8,RRC,(IX*),ByteReg | 1,,X,RR_CY,,
CB,E,RRC,(HL*),,,Y,RR_CY,,
CB,10,RL,ByteReg | 1,,,Y,RL,,
CB,10,RL,(IX*),ByteReg | 1,,X,RL,,
CB,16,RL,(HL*),,,Y,RL,,
CB,18,RR,ByteReg | 1,,,Y,RR,,
CB,18,RR,(IX*),ByteReg | 1,,X,RR,,
CB,1E,RR,(HL*),,,Y,RR,,
CB,20,SLA,ByteReg | 1,,,Y,SL_Signed,,
CB,20,SLA,(IX*),ByteReg | 1,,X,SL_Signed,,
CB,26,SLA,(HL*),,,Y,SL_Signed,,
CB,28,SRA,ByteReg | 1,,,Y,SR_Signed,,
CB,28,SRA,(IX*),ByteReg | 1,,X,SR_Signed,,
CB,2E,SRA,(HL*),,,Y,SR_Signed,,
CB,30,SLL,ByteReg | 1,,,X,SL_L,,
CB,30,SLL,(IX*),ByteReg | 1,,X,SL_L,,
CB,36,SLL,(HL*),,,X,SL_L,,
CB,38,SRL,ByteReg | 1,,,Y,SR_L,,
CB,38,SRL,(IX*),ByteReg | 1,,X,SR_L,,
CB,3E,SRL,(HL*),,,Y,SR_L,,
CB,40,BIT,Encoded | 2,ByteReg | 1,,Y,BIT,,
CB,40,BIT,Encoded | 2,(IX*),ByteReg | 1,X,BIT,,
CB,46,BIT,Encoded | 2,(HL*),,Y,BIT,,
CB,80,RES,Encoded | 2,ByteReg | 1,,Y,RES,,
CB,80,RES,Encoded | 2,(IX*),ByteReg | 1,X,RES,,
CB,86,RES,Encoded | 2,(HL*),,Y,RES,,
CB,C0,SET,Encoded | 2,ByteReg | 1,,Y,SET,,
CB,C0,SET,Encoded | 2,(IX*),ByteReg | 1,X,SET,,
CB,C6,SET,Encoded | 2,(HL*),,Y,SET,,
ED,40,IN,ByteReg | 2,C,,Y,IN,,
ED,41,OUT,C,ByteReg | 2,,Y,OUT,,
ED,42,SBC,HL,WordReg | 3,,Y,SUBC,,
ED,43,LD,AddressPtr | Immidate,WordReg | 3,,Y,LD,,
ED,44,NEG,A,,,Y,NEG,,
ED,45,RETN,,,,Y,RETN,,
ED,46,IM,0,,,Y,IM,,
ED,47,LD,I,A,,Y,LD,,
ED,4A,ADC,HL,WordReg | 3,,Y,ADDC,,
ED,4B,LD,WordReg | 3,AddressPtr | Immidate,,Y,LD,,
ED,4C,NEG,A,,,N,NEG,,
ED,4D,RETI,,,,Y,RETI,,
ED,4E,IM,0,,,N,IM,,
ED,4F,LD,R,A,,Y,LD,,
ED,54,NEG,A,,,N,NEG,,
ED,55,RETN,,,,N,RETN,,
ED,56,IM,1,,,Y,IM,,
ED,57,LD,A,I,,Y,LD,,
ED,5C,NEG,A,,,N,NEG,,
