Prefix,HEX,DEC,Opcode,Param1,Param2,7,6,5,4,3,2,1,0,BIN,Immediate,Official,Memory,IX/IY,Assume A
,0,0,NOP,,,0,0,0,0,0,0,0,0,00000000,N,Y,N,N,N
,1,1,LD,BC,nn,0,0,0,0,0,0,0,1,00000001,Y,Y,N,N,N
,2,2,LD,(BC),A,0,0,0,0,0,0,1,0,00000010,N,Y,Y,N,N
,3,3,INC,BC,,0,0,0,0,0,0,1,1,00000011,N,Y,N,N,N
,4,4,INC,B,,0,0,0,0,0,1,0,0,00000100,N,Y,N,N,N
,5,5,DEC,B,,0,0,0,0,0,1,0,1,00000101,N,Y,N,N,N
,6,6,LD,B,n,0,0,0,0,0,1,1,0,00000110,Y,Y,N,N,N
,7,7,RLCA,,,0,0,0,0,0,1,1,1,00000111,N,Y,N,N,N
,8,8,EX,AF,AF,0,0,0,0,1,0,0,0,00001000,N,Y,N,N,N
,9,9,ADD,HL,BC,0,0,0,0,1,0,0,1,00001001,N,Y,N,Y - No Displacment,N
,0A,10,LD,A,(BC),0,0,0,0,1,0,1,0,00001010,N,Y,Y,N,N
,0B,11,DEC,BC,,0,0,0,0,1,0,1,1,00001011,N,Y,N,N,N
,0C,12,INC,C,,0,0,0,0,1,1,0,0,00001100,N,Y,N,N,N
,0D,13,DEC,C,,0,0,0,0,1,1,0,1,00001101,N,Y,N,N,N
,0E,14,LD,C,n,0,0,0,0,1,1,1,0,00001110,Y,Y,N,N,N
,0F,15,RRCA,,,0,0,0,0,1,1,1,1,00001111,N,Y,N,N,N
,10,16,DJNZ,e-2,,0,0,0,1,0,0,0,0,00010000,Y,Y,Y,N,N
,11,17,LD,DE,nn,0,0,0,1,0,0,0,1,00010001,Y,Y,N,N,N
,12,18,LD,(DE),A,0,0,0,1,0,0,1,0,00010010,N,Y,Y,N,N
,13,19,INC,DE,,0,0,0,1,0,0,1,1,00010011,N,Y,N,N,N
,14,20,INC,D,,0,0,0,1,0,1,0,0,00010100,N,Y,N,N,N
,15,21,DEC,D,,0,0,0,1,0,1,0,1,00010101,N,Y,N,N,N
,16,22,LD,D,n,0,0,0,1,0,1,1,0,00010110,Y,Y,N,N,N
,17,23,RLA,,,0,0,0,1,0,1,1,1,00010111,N,Y,N,N,N
,18,24,JR,e-2,,0,0,0,1,1,0,0,0,00011000,Y,Y,Y,N,N
,19,25,ADD,HL,DE,0,0,0,1,1,0,0,1,00011001,N,Y,N,Y - No Displacment,N
,1A,26,LD,A,(DE),0,0,0,1,1,0,1,0,00011010,N,Y,Y,N,N
,1B,27,DEC,DE,,0,0,0,1,1,0,1,1,00011011,N,Y,N,N,N
,1C,28,INC,E,,0,0,0,1,1,1,0,0,00011100,N,Y,N,N,N
,1D,29,DEC,E,,0,0,0,1,1,1,0,1,00011101,N,Y,N,N,N
,1E,30,LD,E,n,0,0,0,1,1,1,1,0,00011110,Y,Y,N,N,N
,1F,31,RRA,,,0,0,0,1,1,1,1,1,00011111,N,Y,N,N,N
,20,32,JR,NZ,e-2,0,0,1,0,0,0,0,0,00100000,Y,Y,Y,N,N
,21,33,LD,HL,nn,0,0,1,0,0,0,0,1,00100001,Y,Y,N,Y - No Displacment,N
,22,34,LD,(nn),HL,0,0,1,0,0,0,1,0,00100010,Y,Y,Y,Y - No Displacment,N
,23,35,INC,HL,,0,0,1,0,0,0,1,1,00100011,N,Y,N,Y - No Displacment,N
,24,36,INC,H,,0,0,1,0,0,1,0,0,00100100,N,Y,N,X,N
,25,37,DEC,H,,0,0,1,0,0,1,0,1,00100101,N,Y,N,X,N
,26,38,LD,H,n,0,0,1,0,0,1,1,0,00100110,Y,Y,N,X,N
,27,39,DAA,,,0,0,1,0,0,1,1,1,00100111,N,Y,N,N,N
,28,40,JR,Z,e-2,0,0,1,0,1,0,0,0,00101000,Y,Y,Y,N,N
,29,41,ADD,HL,HL,0,0,1,0,1,0,0,1,00101001,N,Y,N,Y - No Displacment,N
,2A,42,LD,HL,(nn),0,0,1,0,1,0,1,0,00101010,Y,Y,Y,Y - No Displacment,N
,2B,43,DEC,HL,,0,0,1,0,1,0,1,1,00101011,N,Y,N,Y - No Displacment,N
,2C,44,INC,L,,0,0,1,0,1,1,0,0,00101100,N,Y,N,X,N
,2D,45,DEC,L,,0,0,1,0,1,1,0,1,00101101,N,Y,N,X,N
,2E,46,LD,L,n,0,0,1,0,1,1,1,0,00101110,Y,Y,N,X,N
,2F,47,CPL,,,0,0,1,0,1,1,1,1,00101111,N,Y,N,N,N
,30,48,JR,NC,e-2,0,0,1,1,0,0,0,0,00110000,Y,Y,Y,N,N
,31,49,LD,SP,nn,0,0,1,1,0,0,0,1,00110001,Y,Y,N,N,N
,32,50,LD,(nn),A,0,0,1,1,0,0,1,0,00110010,Y,Y,Y,N,N
,33,51,INC,SP,,0,0,1,1,0,0,1,1,00110011,N,Y,N,N,N
,34,52,INC,(HL),,0,0,1,1,0,1,0,0,00110100,N,Y,Y,Y,N
,35,53,DEC,(HL),,0,0,1,1,0,1,0,1,00110101,N,Y,Y,Y,N
,36,54,LD,(HL),n,0,0,1,1,0,1,1,0,00110110,Y,Y,Y,Y,N
,37,55,SCF,,,0,0,1,1,0,1,1,1,00110111,N,Y,N,N,N
,38,56,JR,CY,e-2,0,0,1,1,1,0,0,0,00111000,Y,Y,Y,N,N
,39,57,ADD,HL,SP,0,0,1,1,1,0,0,1,00111001,N,Y,N,Y - No Displacment,N
,3A,58,LD,A,(nn),0,0,1,1,1,0,1,0,00111010,Y,Y,Y,N,N
,3B,59,DEC,SP,,0,0,1,1,1,0,1,1,00111011,N,Y,N,N,N
,3C,60,INC,A,,0,0,1,1,1,1,0,0,00111100,N,Y,N,N,N
,3D,61,DEC,A,,0,0,1,1,1,1,0,1,00111101,N,Y,N,N,N
,3E,62,LD,A,n,0,0,1,1,1,1,1,0,00111110,Y,Y,N,N,N
,3F,63,CCF,,,0,0,1,1,1,1,1,1,00111111,N,Y,N,N,N
,40,64,LD,B,B,0,1,0,0,0,0,0,0,01000000,N,Y,N,N,N
,41,65,LD,B,C,0,1,0,0,0,0,0,1,01000001,N,Y,N,N,N
,42,66,LD,B,D,0,1,0,0,0,0,1,0,01000010,N,Y,N,N,N
,43,67,LD,B,E,0,1,0,0,0,0,1,1,01000011,N,Y,N,N,N
,44,68,LD,B,H,0,1,0,0,0,1,0,0,01000100,N,Y,N,X,N
,45,69,LD,B,L,0,1,0,0,0,1,0,1,01000101,N,Y,N,X,N
,46,70,LD,B,(HL),0,1,0,0,0,1,1,0,01000110,N,Y,Y,Y,N
,47,71,LD,B,A,0,1,0,0,0,1,1,1,01000111,N,Y,N,N,N
,48,72,LD,C,B,0,1,0,0,1,0,0,0,01001000,N,Y,N,N,N
,49,73,LD,C,C,0,1,0,0,1,0,0,1,01001001,N,Y,N,N,N
,4A,74,LD,C,D,0,1,0,0,1,0,1,0,01001010,N,Y,N,N,N
,4B,75,LD,C,E,0,1,0,0,1,0,1,1,01001011,N,Y,N,N,N
,4C,76,LD,C,H,0,1,0,0,1,1,0,0,01001100,N,Y,N,X,N
,4D,77,LD,C,L,0,1,0,0,1,1,0,1,01001101,N,Y,N,X,N
,4E,78,LD,C,(HL),0,1,0,0,1,1,1,0,01001110,N,Y,Y,Y,N
,4F,79,LD,C,A,0,1,0,0,1,1,1,1,01001111,N,Y,N,N,N
,50,80,LD,D,B,0,1,0,1,0,0,0,0,01010000,N,Y,N,N,N
,51,81,LD,D,C,0,1,0,1,0,0,0,1,01010001,N,Y,N,N,N
,52,82,LD,D,D,0,1,0,1,0,0,1,0,01010010,N,Y,N,N,N
,53,83,LD,D,E,0,1,0,1,0,0,1,1,01010011,N,Y,N,N,N
,54,84,LD,D,H,0,1,0,1,0,1,0,0,01010100,N,Y,N,X,N
,55,85,LD,D,L,0,1,0,1,0,1,0,1,01010101,N,Y,N,X,N
,56,86,LD,D,(HL),0,1,0,1,0,1,1,0,01010110,N,Y,Y,Y,N
